,job_title,publish,company,city,description,link,website,date,search_title
0,Big Data Engineer (m/w/d),,ORDIX AG,,,,xing,2023-06-15 12:20:19,Data Engineer
1,Technician - Manufacturing Engineer,,"Magna Mechatronics, Mirrors & Lighting",,,,xing,2023-06-15 12:20:19,Data Engineer
2,Data Engineer/ Data BI Architect (m/w/d),,Thalia Bücher GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
3,Advanced Manufacturing Engineer,,"Magna Mechatronics, Mirrors & Lighting",,,,xing,2023-06-15 12:20:19,Data Engineer
4,Data Engineer (m/w/d) | NRW,,ADVERGY GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
5,Support Engineer - Operations Command Center (SOC) (m/w/d),,OEDIV,,,,xing,2023-06-15 12:20:19,Data Engineer
6,Data Engineer (w/m/d),,digit xperts GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
7,"In-house Data Engineer, Großraum Rheine/Osnabrück/Münster",,Oliver Parks,,,,xing,2023-06-15 12:20:19,Data Engineer
8,"DevOps Profi | LINUX, Docker, Kubernetes, ansible, puppet | Inhouse, bis 90 T€ (mwd)",,Vesterling AG,,,,xing,2023-06-15 12:20:19,Data Engineer
9,In-house (Senior) Machine Learning Engineer (m/w/d),,Oliver Parks,,,,xing,2023-06-15 12:20:19,Data Engineer
10,BI Data Engineer / Data Architect (m/w/d),,Nagel-Group,,,,xing,2023-06-15 12:20:19,Data Engineer
11,Data Product Owner (m/w/d) Fulfillment // Remote möglich,,E. Breuninger GmbH & Co.,,,,xing,2023-06-15 12:20:19,Data Engineer
12,Data Product Owner (m/w/d) Finanzen // Remote möglich,,E. Breuninger GmbH & Co.,,,,xing,2023-06-15 12:20:19,Data Engineer
13,Data Engineer (m/w/d),,inserve GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
14,SoftwareentwicklerIn Backend (m/w/d) Vollzeit / Teilzeit / Remote,,logarithmo GmbH & Co. KG,,,,xing,2023-06-15 12:20:19,Data Engineer
15,(Senior) Fullstack Developer*in (w/m/d),,Westphalia DataLab GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
16,Artificial Intelligence Manager (m/w/d),,Kontakttechnik GmbH & Co. KG,,,,xing,2023-06-15 12:20:19,Data Engineer
17,Future EO Missions System Engineer,,CS Group,,,,xing,2023-06-15 12:20:19,Data Engineer
18,(Senior) Consultant Data Engineer SAS (all genders),,adesso SE,,,,xing,2023-06-15 12:20:19,Data Engineer
19,Data Engineer (m/w/d),,Alexander Thamm GmbH,,,,xing,2023-06-15 12:20:19,Data Engineer
